AFG,Afghan Red Crescent,urn:oid:2.49.1.0
ALB,Albanian Red Cross,urn:oid:2.49.1.2
DZA,Algerian Red Crescent,urn:oid:2.49.1.47
USA,American Red Cross,urn:oid:2.49.1.174
AND,Andorran Red Cross,urn:oid:2.49.1.3
AGO,Angola Red Cross,urn:oid:2.49.1.1
ATG,Antigua and Barbuda Red Cross Society,urn:oid:2.49.1.7
ARG,Argentine Red Cross,urn:oid:2.49.1.5
ARM,Armenian Red Cross Society,urn:oid:2.49.1.6
AUS,Australian Red Cross,urn:oid:2.49.1.8
AUT,Austrian Red Cross,urn:oid:2.49.1.9
BHR,Bahrain Red Crescent Society,urn:oid:2.49.1.17
BGD,Bangladesh Red Crescent Society,urn:oid:2.49.1.15
SWZ,Baphalali Swaziland Red Cross Society,urn:oid:2.49.1.157
BLR,Belarus Red Cross,urn:oid:2.49.1.20
BEL,Belgian Red Cross,urn:oid:2.49.1.12
BLZ,Belize Red Cross Society,urn:oid:2.49.1.21
BOL,Bolivian Red Cross,urn:oid:2.49.1.22
BWA,Botswana Red Cross Society,urn:oid:2.49.1.26
BRA,Brazilian Red Cross,urn:oid:2.49.1.23
GBR,British Red Cross,urn:oid:2.49.1.58
BRN,Brunei Darussalam Red Crescent Society,urn:oid:2.49.1.25
BGR,Bulgarian Red Cross,urn:oid:2.49.1.16
BFA,Burkinabe Red Cross Society,urn:oid:2.49.1.14
BDI,Burundi Red Cross,urn:oid:2.49.1.11
KHM,Cambodian Red Cross Society,urn:oid:2.49.1.87
CMR,Cameroon Red Cross Society,urn:oid:2.49.1.33
CAF,Central African Red Cross Society,urn:oid:2.49.1.27
CHL,Chilean Red Cross,urn:oid:2.49.1.30
COL,Colombian Red Cross Society,urn:oid:2.49.1.35
COG,Congolese Red Cross,urn:oid:2.49.1.34
COK,Cook Islands Red Cross Society,urn:oid:2.49.1.188
CRI,Costa Rican Red Cross,urn:oid:2.49.1.38
HRV,Croatian Red Cross,urn:oid:2.49.1.70
CUB,Cuban Red Cross,urn:oid:2.49.1.39
CYP,Cyprus Red Cross Society,urn:oid:2.49.1.40
CZE,Czech Red Cross,urn:oid:2.49.1.41
DNK,Danish Red Cross,urn:oid:2.49.1.45
DMA,Dominica Red Cross Society,urn:oid:2.49.1.44
DOM,Dominican Red Cross,urn:oid:2.49.1.46
ECU,Ecuadorian Red Cross,urn:oid:2.49.1.48
EGY,Egyptian Red Crescent Society,urn:oid:2.49.1.49
EST,Estonia Red Cross,urn:oid:2.49.1.51
ETH,Ethiopian Red Cross Society,urn:oid:2.49.1.52
FJI,Fiji Red Cross Society,urn:oid:2.49.1.54
FIN,Finnish Red Cross,urn:oid:2.49.1.53
FRA,French Red Cross,urn:oid:2.49.1.55
GAB,Gabonese Red Cross Society,urn:oid:2.49.1.57
DEU,German Red Cross,urn:oid:2.49.1.42
GHA,Ghana Red Cross Society,urn:oid:2.49.1.60
GRD,Grenada Red Cross Society,urn:oid:2.49.1.66
GTM,Guatemalan Red Cross,urn:oid:2.49.1.67
HTI,Haiti Red Cross Society,urn:oid:2.49.1.71
GRC,Hellenic Red Cross,urn:oid:2.49.1.65
HND,Honduran Red Cross,urn:oid:2.49.1.69
HUN,Hungarian Red Cross,urn:oid:2.49.1.72
ISL,Icelandic Red Cross,urn:oid:2.49.1.78
IND,Indian Red Cross Society,urn:oid:2.49.1.74
IDN,Indonesian Red Cross Society,urn:oid:2.49.1.73
IRQ,Iraqi Red Crescent Society,urn:oid:2.49.1.77
IRL,Irish Red Cross Society,urn:oid:2.49.1.75
ISR,Israel - Magen David Adom in Israel,urn:oid:2.49.1.79
ITA,Italian Red Cross,urn:oid:2.49.1.80
JAM,Jamaica Red Cross,urn:oid:2.49.1.81
JPN,Japanese Red Cross Society,urn:oid:2.49.1.83
JOR,Jordan National Red Crescent Society,urn:oid:2.49.1.82
KAZ,Kazakh Red Crescent,urn:oid:2.49.1.84
KEN,Kenya Red Cross Society,urn:oid:2.49.1.85
KIR,Kiribati Red Cross Society,urn:oid:2.49.1.88
KWT,Kuwait Red Crescent Society,urn:oid:2.49.1.91
LAO,Lao Red Cross,urn:oid:2.49.1.92
LVA,Latvian Red Cross,urn:oid:2.49.1.102
LBN,Lebanese Red Cross,urn:oid:2.49.1.93
LSO,Lesotho Red Cross Society,urn:oid:2.49.1.99
LBR,Liberian Red Cross Society,urn:oid:2.49.1.94
LBY,Libyan Red Crescent,urn:oid:2.49.1.95
LIE,Liechtenstein Red Cross,urn:oid:2.49.1.97
LTU,Lithuanian Red Cross Society,urn:oid:2.49.1.100
LUX,Luxembourg Red Cross,urn:oid:2.49.1.101
MDG,Malagasy Red Cross Society,urn:oid:2.49.1.106
MWI,Malawi Red Cross Society,urn:oid:2.49.1.118
MYS,Malaysian Red Crescent Society,urn:oid:2.49.1.119
MDV,Maldivian Red Crescent,urn:oid:2.49.1.107
MLI,Mali Red Cross,urn:oid:2.49.1.110
MLT,Malta Red Cross Society,urn:oid:2.49.1.111
MRT,Mauritanian Red Crescent,urn:oid:2.49.1.116
MUS,Mauritius Red Cross Society,urn:oid:2.49.1.117
MEX,Mexican Red Cross,urn:oid:2.49.1.108
FSM,Micronesia Red Cross,urn:oid:2.49.1.56
MNG,Mongolian Red Cross Society,urn:oid:2.49.1.114
MAR,Moroccan Red Crescent,urn:oid:2.49.1.103
MOZ,Mozambique Red Cross Society,urn:oid:2.49.1.115
MMR,Myanmar Red Cross Society,urn:oid:2.49.1.112
NAM,Namibia Red Cross,urn:oid:2.49.1.120
NPL,Nepal Red Cross Society,urn:oid:2.49.1.126
NZL,New Zealand Red Cross,urn:oid:2.49.1.127
NIC,Nicaraguan Red Cross,urn:oid:2.49.1.123
NGA,Nigerian Red Cross Society,urn:oid:2.49.1.122
